Date,Category,Payment_mode,Description,Amount,Cashback
2025-01-29,parking,upi,Third purpose card too production two.,84.2,7.7
2025-01-20,clothing,digital wallets,Significant person chair yes process always above.,82.67,3.58
2025-01-22,vegetables,debit card,Drive event their mother whom student.,72.58,2.04
2025-01-03,travel,wallet,Room affect chance enough where.,84.49,2.08
2025-01-23,sports&fitness,credit card,Rate order evening year rich these.,76.67,8.24
2025-01-14,clothing,upi,Family perform crime make education.,22.37,8.95
2025-01-10,subscriptions,digital wallets,List decide accept large state.,95.01,8.4
2025-01-05,stationary,credit card,Choice start science do night reason institution.,40.78,8.6
2025-01-06,vegetables,mobile payments,Low fall especially.,41.51,4.32
2025-01-24,school fees,upi,Him quality image out sport in why.,83.88,9.14
2025-01-27,groceries,cash,Ok least agree.,36.68,8.14
2025-01-06,emergency funds,net banking,Society forward company lose should.,90.46,2.55
2025-01-13,school fees,net banking,Decide night and school table loss.,84.18,9.24
2025-01-08,subscriptions,net banking,Fast trouble style store why south wrong direction.,37.47,7.71
2025-01-14,groceries,cash,Whom now ability that.,73.14,6.62
2025-01-10,transportation,credit card,Few away rather song the then.,75.02,6.31
2025-01-29,stationary,prepaid cards,Join vote improve party over share.,76.12,3.48
2025-01-05,travel,cash,Next hour population yeah finally her.,50.21,9.53
2025-01-25,care products,wallet,Character speech test soon modern should table body.,50.06,7.85
2025-01-11,medical,digital wallets,Back south last onto mind huge bank.,45.01,5.06
2025-01-26,school fees,credit card,Baby plant possible avoid arrive along respond hospital.,48.96,5.57
2025-01-22,memberships,prepaid cards,Nor on leave training stop.,53.76,5.44
2025-01-09,home essential,mobile payments,Watch interesting right apply toward let.,94.04,2.01
2025-01-14,home essential,prepaid cards,Available attention peace kind anything hour yet.,63.74,7.3
2025-01-11,memberships,upi,Life most agreement cell.,14.23,8.04
2025-01-04,parking,wallet,Relationship talk voice director hard.,49.85,4.3
2025-01-08,sports&fitness,net banking,Answer relate dream Democrat police.,26.65,4.86
2025-01-15,travel,cash,Effort pick material second could.,50.12,3.03
2025-01-10,travel,digital wallets,Summer tree onto pay husband staff.,38.02,5.8
